timestamp;objects;(number of reconstructions,max_time,number of repetitions);repetition;time
2023-02-25-17-07-30-644050;001_chip_can;(15,1000,3);1;482.719562
2023-02-25-17-16-01-376975;001_chip_can;(15,1000,3);2;459.315111
2023-02-25-17-27-26-428341;001_chip_can;(15,1000,3);3;421.952058
2023-02-25-15-48-37-174197;003_cracker_box;(15,1000,3);1;460.697737
2023-02-25-15-57-46-137721;003_cracker_box;(15,1000,3);2;410.238376
2023-02-26-14-26-53-331207;003_cracker_box;(15,2000,3);3;499.102485
2023-02-25-16-19-16-825979;004_sugar_box;(15,1000,3);1;591.233244
2023-02-25-16-57-56-600208;004_sugar_box;(15,1000,3);2;419.186145
2023-02-26-19-02-35-358830;004_sugar_box;(15,1000,3);3;688.485379
2023-02-26-09-49-59-430748;005_tomato_soup_can;(15,1000,3);1;465.654456
2023-02-26-09-58-27-409594;005_tomato_soup_can;(15,1000,3);2;510.712875
2023-02-26-10-19-03-986146;005_tomato_soup_can;(15,1000,3);3;449.103659
2023-02-25-12-32-15-496558;019_pitcher_base;(15,1000,3);1;529.749199
2023-02-26-10-39-28-530636;019_pitcher_base;(15,1000,3);2;525.646631
2023-02-26-10-50-13-423531;019_pitcher_base;(15,1000,3);3;500.541443
2023-02-25-13-05-25-710869;021_bleach_cleanser;(15,1000,3);1;594.695899
2023-02-25-13-20-23-339522;021_bleach_cleanser;(15,1000,3);2;530.716131
2023-02-26-11-40-48-355126;021_bleach_cleanser;(15,1000,3);3;421.450433
2023-02-25-13-43-16-445091;035_power_drill;(15,1000,3);1;528.192391
2023-02-26-11-57-55-761732;035_power_drill;(15,1000,3);2;493.259254
2023-02-26-12-18-18-449274;035_power_drill;(15,1000,3);3;530.085234
2023-02-25-14-57-27-458534;drill_box;(15,1000,3);1;570.095418
2023-02-25-15-18-08-217304;drill_box;(15,1000,3);2;458.117293
2023-02-25-15-26-45-620877;drill_box;(15,1000,3);3;620.106285
2023-02-26-13-05-03-803273;022_windex_bottle;(15,1000,3);1;483.091001
2023-02-26-13-15-18-887573;022_windex_bottle;(15,1000,3);2;402.93324
2023-02-26-13-22-35-147502;022_windex_bottle;(15,1000,3);3;403.219631
