timestamp;objects;(number of reconstructions,max_time,number of repetitions);repetition;time
2023-02-20-18-59-17-032866;001_chip_can;(15,600,3);1;333.227015
2023-02-20-19-05-20-304825;001_chip_can;(15,600,3);2;307.332744
2023-02-20-19-10-57-684804;001_chip_can;(15,600,3);3;334.974127
2023-02-20-19-40-08-872848;003_cracker_box;(15,600,3);1;379.378333
2023-02-20-20-18-47-484854;003_cracker_box;(15,600,3);2;380.884704
2023-02-20-20-50-38-325040;003_cracker_box;(15,600,3);3;319.753132
2023-02-20-21-38-45-872869;004_sugar_box;(15,600,3);1;320.986475
2023-02-20-22-01-47-828806;004_sugar_box;(15,600,3);2;311.697003
2023-02-20-22-13-27-788804;004_sugar_box;(15,600,3);3;338.531664
2023-02-20-22-50-38-972824;005_tomato_soup_can;(15,600,3);1;355.060316
2023-02-20-23-33-59-497065;005_tomato_soup_can;(15,600,3);2;302.638549
2023-02-20-23-51-42-848809;005_tomato_soup_can;(15,600,3);3;324.691275
2023-02-21-00-22-11-349068;019_pitcher_base;(15,600,3);1;360.345839
2023-02-21-00-41-39-584847;019_pitcher_base;(15,600,3);2;361.12665
2023-02-21-01-27-08-584794;019_pitcher_base;(15,600,3);3;364.791041
2023-02-21-01-59-11-992818;021_bleach_cleanser;(15,600,3);1;317.498044
2023-02-21-02-17-02-808827;021_bleach_cleanser;(15,600,3);2;304.434821
2023-02-21-03-05-24-613542;021_bleach_cleanser;(15,600,3);3;339.39749
2023-02-21-03-16-47-596841;035_power_drill;(15,600,3);1;451.331567
2023-02-21-03-42-33-456798;035_power_drill;(15,600,3);2;410.573096
2023-02-21-03-49-54-073383;035_power_drill;(15,600,3);3;463.917929
2023-02-21-05-26-20-885465;drill_box;(15,600,3);1;330.417714
2023-02-21-05-55-23-656807;drill_box;(15,600,3);2;331.687935
2023-02-21-06-06-41-872815;drill_box;(15,600,3);3;342.017523
